,CT13_CELULA_TEMPERATURA AMBIENTE,CT13_CELULA_TEMPERATURA PANEL,"CT13_CELULA_RADIACIÓN
SUCIA",CT13_CELULA_TEMPERATURA AMBIENTE.1,CT13_CELULA_TEMPERATURA PANEL.1,"CT9_CELULA_RADIACIÓN
LIMPIA",CT9_CELULA_TEMPERATURA AMBIENTE,CT9_CELULA_TEMPERATURA PANEL,"CT9_CELULA_RADIACIÓN
SUCIA",CT9_CELULA_TEMPERATURA AMBIENTE.1,CT9_CELULA_TEMPERATURA PANEL.1,"CT13_CELULA_RADIACIÓN
LIMPIA",CT9_MET_VELOCIDAD DEL VIENTO KM/H,CT9_MET_DIRECCIÓN DEL VIENTO,CT9_MET_TEMPERATURA DEL AIRE (ºC),CT9_MET_HUMEDAD RELATIVA (%),CT9_MET_PRESIÓN ATMOSFÉRICA (MMHG),"CT9_MET_IRRADIANCIA GLOBAL 1 (W/M2)
INCLINADA","CT9_MET_IRRADIANCIA GLOBAL 2 (W/M2)
HORIZONTAL","CT9_MET_IRRADIANCIA GLOBAL 3 (W/M2)
INCLINADA","CT9_MET_IRRADIANCIA GLOBAL 4 (W/M2)
HORIZONTAL","CT9_MET_IRRADIANCIA GLOBAL 5 (W/M2)
INCLINADA","CT9_MET_IRRADIANCIA GLOBAL 6 (W/M2)
HORIZONTAL",CT9_MET_TEMPERATURA PANEL 1 (ºC),CT9_MET_TEMPERATURA PANEL 2 (ºC),CT9_MET_TEMPERATURA PANEL 3 (ºC),CT9_MET_PRECIPITACION (MM),CT13_MET_VELOCIDAD DEL VIENTO KM/H,CT13_MET_DIRECCIÓN DEL VIENTO,CT13_MET_TEMPERATURA DEL AIRE (ºC),CT13_MET_HUMEDAD RELATIVA (%),CT13_MET_PRESIÓN ATMOSFÉRICA (MMHG),"CT13_MET_IRRADIANCIA GLOBAL 1 (W/M2)
INCLINADA
","CT13_MET_IRRADIANCIA GLOBAL 2 (W/M2)
HORIZONTAL","CT13_MET_IRRADIANCIA GLOBAL 3 (W/M2)
INCLINADA","CT13_MET_IRRADIANCIA GLOBAL 4 (W/M2)
HORIZONTAL","CT13_MET_IRRADIANCIA GLOBAL 5 (W/M2)
INCLINADA","CT13_MET_IRRADIANCIA GLOBAL 6 (W/M2)
HORIZONTAL",CT13_MET_TEMPERATURA PANEL 1 (ºC),CT13_MET_TEMPERATURA PANEL 2 (ºC),CT13_MET_TEMPERATURA PANEL 3 (ºC),CT13_MET_PRECIPITACION (MM),CONTROL_PPC_POTENCIA ACTIVA (KW),CONTROL_PPC_POTENCIA REACTIVA (KVAR),GHI,Eq
2021-07-20 00:15:00,-21,-44,0,-28,-50,0,-16,-48,0,-21,-49,0,8.82,87.05,-1.29,13.73,655.54,0.89,0.51,0.47,0.63,0.75,0.66,-6.21,-6.02,-6.39,0.0,0.0,83.82,-1.8,14.18,504.27,0.87,0.91,0.67,0.95,0.3,0.73,-6.6,-6.93,-6.49,0.0,-100.74,-240.62,0.0,0.0
2021-07-20 00:30:00,-38,-63,0,-46,-70,0,-32,-64,0,-36,-66,0,6.12,55.98,-3.13,15.32,655.38,0.51,0.26,0.3,0.38,0.42,0.45,-7.49,-7.28,-7.66,0.0,8.82,64.36,-3.46,16.87,504.29,0.55,0.68,0.54,0.78,0.26,0.52,-8.15,-8.4,-7.98,0.0,-101.36,-253.68,0.0,0.0
2021-07-20 00:45:00,-42,-68,0,-53,-74,0,-43,-70,0,-47,-70,0,6.12,341.25,-3.7,15.13,655.38,0.51,0.3,0.3,0.5,0.33,0.29,-7.46,-7.27,-7.62,0.0,6.12,333.0,-3.94,17.35,504.26,0.73,0.77,0.49,0.86,0.3,0.43,-7.87,-8.04,-7.7,0.0,-101.26,-222.14,0.0,0.0
2021-07-20 01:00:00,-32,-67,0,-49,-74,0,-43,-69,0,-46,-70,0,8.82,132.6,-3.47,14.71,655.38,0.3,0.04,0.21,0.17,0.29,0.0,-6.99,-6.97,-7.2,0.0,3.42,169.08,-2.52,15.11,504.26,0.0,0.0,0.0,0.0,0.0,0.0,-7.23,-7.42,-7.1,0.0,-93.88,-232.04,0.0,0.0
2021-07-20 01:15:00,-30,-57,0,-41,-65,0,-32,-62,0,-35,-64,0,6.12,108.47,-1.49,13.65,655.38,0.0,0.0,0.0,0.08,0.0,0.0,-6.0,-5.96,-6.17,0.0,0.0,94.23,-2.02,14.46,504.27,0.0,0.0,0.0,0.26,0.0,0.0,-6.35,-6.61,-6.27,0.0,-92.5,-217.28,0.0,0.0
2021-07-20 01:30:00,-34,-59,0,-42,-65,0,-38,-63,0,-39,-64,0,3.42,137.43,-2.66,15.71,655.24,0.38,0.0,0.21,0.0,0.17,0.0,-6.23,-6.16,-6.52,0.0,6.12,119.33,-2.86,16.41,504.23,0.27,0.09,0.18,0.17,0.0,0.09,-6.72,-7.0,-6.59,0.0,-93.09,-223.24,0.0,0.0
2021-07-20 01:45:00,-45,-68,0,-53,-75,0,-40,-70,0,-45,-71,0,0.0,115.26,-3.03,16.54,655.23,0.34,0.04,0.04,0.04,0.04,0.04,-7.51,-7.4,-7.73,0.0,0.0,100.86,-3.35,16.87,504.26,0.36,0.18,0.09,0.13,0.0,0.04,-8.0,-8.34,-7.88,0.0,-93.73,-218.62,0.0,0.0
2021-07-20 02:00:00,-52,-77,0,-62,-85,0,-50,-80,0,-54,-80,0,0.0,14.97,-3.75,16.77,655.24,0.34,0.04,0.0,0.04,0.04,0.0,-8.64,-8.6,-8.92,0.0,0.0,38.17,-4.43,18.85,504.26,0.46,0.45,0.36,0.43,0.13,0.26,-9.15,-9.44,-9.02,0.0,-92.94,-220.44,0.0,0.0
2021-07-20 02:15:00,-56,-81,0,-66,-88,0,-58,-85,0,-64,-86,0,0.0,14.29,-5.01,18.58,655.08,0.38,0.21,0.13,0.38,0.17,0.25,-8.82,-8.83,-9.06,0.0,0.0,17.73,-5.28,20.23,504.26,0.41,0.41,0.36,0.65,0.17,0.3,-9.1,-9.34,-8.94,0.0,-93.13,-219.41,0.0,0.0
2021-07-20 02:30:00,-55,-78,0,-66,-83,0,-61,-81,0,-65,-85,0,6.12,69.52,-4.94,16.38,654.77,0.21,0.09,0.13,0.58,0.17,0.29,-7.85,-7.82,-8.12,0.0,0.0,82.49,-5.17,19.47,504.28,0.32,0.36,0.09,0.39,0.04,0.09,-8.14,-8.52,-8.09,0.0,-93.18,-220.21,0.0,0.0
2021-07-20 02:45:00,-51,-74,0,-60,-80,0,-49,-76,0,-56,-78,0,0.0,20.72,-4.56,16.19,654.77,0.3,0.21,0.08,0.21,0.13,0.08,-7.6,-7.52,-7.86,0.0,0.0,41.66,-4.7,17.68,504.22,0.09,0.09,0.09,0.04,0.04,0.0,-8.08,-8.46,-8.03,0.0,-92.24,-224.1,0.0,0.0
2021-07-20 03:00:00,-61,-85,0,-70,-93,0,-61,-89,0,-65,-90,0,0.0,12.03,-4.28,15.44,654.77,0.43,0.09,0.21,0.38,0.33,0.29,-9.1,-9.09,-9.38,0.0,0.0,252.18,-5.36,18.87,504.25,0.23,0.36,0.27,0.43,0.13,0.17,-9.68,-10.0,-9.55,0.0,-93.29,-222.25,0.0,0.0
2021-07-20 03:15:00,-62,-88,0,-71,-96,0,-60,-90,0,-65,-92,0,0.0,162.14,-5.38,17.35,654.62,0.26,0.0,0.04,0.17,0.08,0.0,-9.13,-9.06,-9.33,0.0,0.0,47.42,-5.77,18.81,504.28,0.05,0.0,0.0,0.13,0.0,0.0,-9.79,-9.98,-9.6,0.0,-92.71,-234.67,0.0,0.0
2021-07-20 03:30:00,-51,-85,0,-61,-91,0,-56,-88,0,-60,-88,0,0.0,305.99,-4.18,15.71,654.77,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,-8.83,-9.08,0.0,0.0,294.9,-4.39,17.88,504.29,0.32,0.0,0.22,0.0,0.13,0.0,-9.35,-9.6,-9.22,0.0,-96.32,-232.87,0.0,0.0
2021-07-20 03:45:00,-61,-82,0,-70,-88,0,-59,-84,0,-64,-86,0,0.0,0.6,-4.82,16.3,654.62,0.55,0.34,0.42,0.46,0.46,0.33,-8.48,-8.43,-8.73,0.0,0.0,1.73,-5.39,18.89,504.28,0.41,0.32,0.49,0.35,0.34,0.3,-8.95,-9.24,-8.88,0.0,-95.94,-233.9,0.0,0.0
2021-07-20 04:00:00,-67,-87,0,-74,-94,0,-65,-89,0,-71,-92,0,0.0,9.25,-4.82,16.17,654.46,0.47,0.21,0.25,0.46,0.46,0.37,-9.11,-9.08,-9.4,0.0,0.0,319.73,-6.03,19.79,504.23,0.09,0.32,0.13,0.35,0.0,0.09,-9.74,-10.1,-9.66,0.0,-96.94,-232.23,0.0,0.0
2021-07-20 04:15:00,-68,-95,0,-79,-101,0,-69,-97,0,-73,-99,0,0.0,98.97,-4.85,16.86,654.47,0.09,0.0,0.0,0.17,0.0,0.0,-9.84,-9.83,-10.05,0.0,0.0,27.71,-5.99,19.03,504.24,0.09,0.09,0.0,0.3,0.0,0.0,-10.46,-10.72,-10.32,0.0,-98.6,-231.25,0.0,0.0
2021-07-20 04:30:00,-70,-94,0,-77,-100,0,-70,-95,0,-74,-96,0,6.12,244.55,-5.32,17.79,654.77,0.34,0.09,0.25,0.13,0.21,0.04,-9.55,-9.55,-9.82,0.0,0.0,211.02,-6.39,20.11,504.25,0.36,0.27,0.27,0.26,0.13,0.17,-10.22,-10.46,-10.09,0.0,-97.13,-232.22,0.0,0.0
2021-07-20 04:45:00,-71,-87,0,-78,-96,0,-66,-89,0,-70,-91,0,0.0,196.66,-5.46,18.21,654.77,0.17,0.04,0.04,0.21,0.04,0.0,-8.72,-8.66,-8.99,0.0,0.0,242.82,-6.34,20.81,504.24,0.0,0.0,0.0,0.0,0.0,0.0,-9.39,-9.77,-9.35,0.0,-95.66,-232.94,0.0,0.0
2021-07-20 05:00:00,-70,-91,0,-77,-98,0,-68,-92,0,-73,-93,0,0.0,278.73,-4.41,17.0,654.77,0.38,0.17,0.17,0.0,0.08,0.0,-9.14,-9.07,-9.47,0.0,6.12,282.54,-6.25,21.27,504.28,0.0,0.0,0.0,0.0,0.0,0.0,-9.73,-10.09,-9.7,0.0,-96.2,-230.91,0.0,0.0
2021-07-20 05:15:00,-61,-88,0,-71,-97,0,-68,-97,0,-71,-97,0,8.82,310.15,-5.17,17.73,654.92,0.04,0.0,0.0,0.0,0.0,0.0,-9.98,-9.96,-10.21,0.0,8.82,313.7,-4.8,18.3,504.27,0.0,0.0,0.0,0.0,0.0,0.0,-10.1,-10.49,-9.98,0.0,-114.11,-204.35,0.0,0.0
2021-07-20 05:30:00,-42,-72,0,-54,-81,0,-59,-83,0,-60,-82,0,8.82,335.24,-3.98,16.54,654.93,0.09,0.21,0.21,0.0,0.04,0.0,-8.38,-8.28,-8.58,0.0,14.22,326.25,-3.66,16.92,504.25,0.0,0.0,0.0,0.0,0.0,0.0,-8.01,-8.37,-7.97,0.0,-162.17,-95.02,0.0,0.0
2021-07-20 05:45:00,-30,-44,0,-37,-50,0,-44,-60,0,-48,-63,0,8.82,336.13,-1.17,13.81,654.77,0.0,0.0,0.0,0.0,0.0,0.0,-5.66,-5.54,-5.79,0.0,11.52,338.35,-2.96,16.13,504.23,0.0,0.0,0.0,0.0,0.0,0.0,-5.04,-5.32,-5.04,0.0,-199.17,-75.41,0.0,0.0
2021-07-20 06:00:00,-28,-42,0,-34,-48,0,-7,-36,0,-11,-34,0,0.0,236.4,-0.35,13.61,654.76,0.0,0.0,0.04,0.0,0.17,0.0,-4.0,-3.91,-4.26,0.0,0.0,142.6,-2.75,15.88,504.24,0.36,0.27,0.04,0.3,0.0,0.09,-5.76,-5.99,-5.68,0.0,-278.01,-115.32,0.0,0.0
2021-07-20 06:15:00,-48,-65,0,-55,-71,0,-38,-59,0,-42,-58,0,11.52,120.9,-4.55,16.37,654.76,1.02,0.64,0.76,0.92,1.21,1.15,-7.0,-6.92,-7.17,0.0,6.12,91.54,-4.75,16.89,504.25,0.64,0.72,0.49,0.65,0.17,0.34,-8.2,-8.48,-8.09,0.0,-289.52,-102.1,0.0,0.0
