,EDIS status,Last average demand +A,Last average demand -A,Last average demand +Ri,Last average demand +Rc,Last average demand -Ri,Last average demand -Rc,Last average demand +VA,Last average demand -VA,Voltage L1,Voltage L2,Voltage L3,Current L1,Current L2,Current L3,Relative THD [%] voltage,Relative THD [%] current,Energy +A,Energy -A,Unnamed: 20,Unnamed: 21,Unnamed: 22,Clock.1,GHI,Eq
2021-07-20 00:15:00,80800000.0,159.0,0.0,0.0,0.0,0.0,222.0,272.0,0.0,66.27,66.47,65.87,0.0,0.0,0.0,0.681,0.329,2558733.6,64835364.1,,,,,0.0,0.0
2021-07-20 00:30:00,80800000.0,157.0,0.0,0.0,0.0,0.0,237.0,285.0,0.0,66.11,66.32,65.71,0.0,0.0,0.0,0.654,0.316,2558772.9,64835364.1,,,,,0.0,0.0
2021-07-20 00:45:00,80800000.0,156.0,0.0,0.0,0.0,0.0,241.0,287.0,0.0,66.11,66.31,65.71,0.0,0.0,0.0,0.733,0.344,2558811.9,64835364.1,,,,,0.0,0.0
2021-07-20 01:00:00,80800000.0,155.0,0.0,0.0,0.0,0.0,221.0,270.0,0.0,66.95,67.22,66.64,0.0,0.0,0.0,0.747,0.324,2558850.5,64835364.1,,,,,0.0,0.0
2021-07-20 01:15:00,80800000.0,152.0,0.0,0.0,0.0,0.0,238.0,282.0,0.0,66.36,66.63,66.06,0.0,0.0,0.0,0.741,0.316,2558888.6,64835364.1,,,,,0.0,0.0
2021-07-20 01:30:00,80800000.0,166.0,0.0,0.0,0.0,0.0,222.0,277.0,0.0,66.12,66.41,65.86,0.0,0.0,0.0,0.726,0.327,2558930.0,64835364.1,,,,,0.0,0.0
2021-07-20 01:45:00,80800000.0,167.0,0.0,0.0,0.0,0.0,221.0,277.0,0.0,66.26,66.55,66.01,0.0,0.0,0.0,0.735,0.326,2558971.8,64835364.1,,,,,0.0,0.0
2021-07-20 02:00:00,80800000.0,166.0,0.0,0.0,0.0,0.0,219.0,276.0,0.0,66.31,66.61,66.06,0.0,0.0,0.0,0.733,0.335,2559013.5,64835364.1,,,,,0.0,0.0
2021-07-20 02:15:00,80800000.0,167.0,0.0,0.0,0.0,0.0,221.0,277.0,0.0,66.21,66.5,65.97,0.0,0.0,0.0,0.735,0.327,2559055.2,64835364.1,,,,,0.0,0.0
2021-07-20 02:30:00,80800000.0,166.0,0.0,0.0,0.0,0.0,222.0,277.0,0.0,66.19,66.48,65.95,0.0,0.0,0.0,0.72,0.329,2559096.6,64835364.1,,,,,0.0,0.0
